Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q27,Q28,Q29,Q30,Q31
0,Femenino,19,estudiante,san patricio,3,Mayor vigilancia y mejor iluminación,5,Iluminación:Baches:Áreas Verdes:Áreas públicas de esparcimiento y recreación:,9,No,No es seguro,Mayor vigilancia ,5,ok
2,Femenino,23,Ingeniera de Bioprocesos,Lomas Cuarta Seccion,5,El personal de vigilancia y seguridad,10,Iluminación:Baches:Banquetas:Áreas Verdes:Rejas de alcantarillado:Áreas de esparcimiento público:,7,Si,Por cualquier emergencia que pueda pasar,seguridad,3,ok
3,Femenino,42,medico,lomas,0,que hubiera mas vugilancia,8,Iluminación:Baches:Banquetas:,10,No,porque yo no dejaria a mi hijo solo por nada del mundo,sefuridad pero no hay,4,ok
5,Femenino,28,administrador,dalias,10,"alumbrado, vigilancia",10,Iluminación:Baches:Banquetas:Áreas Verdes:Áreas públicas de esparcimiento y recreación:Pasos de cebra:Rejas de alcantarillado:Pasos a nivel:Áreas de esparcimiento público:,10,No,Inseguridad ,nada ,2,ok
7,Femenino,30,.,Zenon fernandez,5,.,7,Iluminación:Baches:Áreas públicas de esparcimiento y recreación:Rejas de alcantarillado:Áreas de esparcimiento público:,6,No,Esta muy retirado,Que su hijo crezca un poco mas,2,ok
8,Femenino,49,ninguna,cuahtemoc,10,ya no se puede hacer nada,10,Iluminación:Banquetas:,10,No,Inseguridad ,que se componga el pais,2,ok
9,Femenino,38,Licenciada en administracion,Tequisquiapan,6,Mayor vigilancia y alumbrado ,9,Iluminación:Baches:Banquetas:Áreas Verdes:Áreas públicas de esparcimiento y recreación:Pasos de cebra:Rejas de alcantarillado:Pasos a nivel:Áreas de esparcimiento público:,10,No,"Esta peligrodo, hay cruces peligrosos",Mucha seguridad ,5,ok
10,Masculino,23,ingeniero,quinta de ,7,policias trabajaran realmente ,10,Baches:Rejas de alcantarillado:,9,Si,"contamina menos, llegan mas facil",seguridad,10,ok
12,Femenino,31,ama de casa ,real providencia ,8,el alumbrado,7,Baches:Banquetas:Pasos de cebra:Pasos a nivel:,8,No,la distancia ,mayor seguridad,3,ok
13,Femenino,48,contador,tequis,9,"iluminacion, policia",10,Baches:Banquetas:,10,Si,porque esta cerca,responsabilidad de él,5,ok
14,Femenino,45,secretaria ejecutiva,jardines del sur,7,mas luminarias y patrulleo,9,Iluminación:Baches:Banquetas:Pasos de cebra:Rejas de alcantarillado:Pasos a nivel:Áreas de esparcimiento público:Otros:,10,No,la inseguridad,seguridad,2,ok
15,Femenino,33,Abogada,Tequis,0,Policia,8,Baches:Áreas Verdes:Rejas de alcantarillado:,10,No,Inseguridad,Seguridad,4,ok
16,Femenino,49,contador publico,club de golf,8,vigilancia ,8,Banquetas:Rejas de alcantarillado:Áreas de esparcimiento público:,6,No,inseguridad,buen transporte y seguridad,3,ok
17,Femenino,55,Ferretería,Moderna,4,iluminación y vigilancia,5,Baches:,9,Si,Las escuelas están cerca,pie,4,ok
18,Femenino,33,ama de casa,del valle,3,que haya mas vigilancia y mejor sistema de vialidad ,10,Iluminación:Baches:Rejas de alcantarillado:,10,No,por la inseguridad y el trafico para ctuzar las calles ,vigilancia y mwjorar circulacion,10,ok
20,Femenino,38,maestra,san miguelito,5,luz en la noche,10,Baches:Banquetas:Áreas Verdes:,10,Si,es lo logico,seguridad,2,ok
21,Femenino,27,auxiliar educativo,la garita,6,"habitos al caminar, no distracciones",8,Baches:,10,No,por la seguridad,vivir cerca,2,ok
22,Masculino,67,Comerciante,SanLuis,7,Seguridad,10,Iluminación:Baches:Banquetas:Áreas Verdes:Áreas públicas de esparcimiento y recreación:Pasos de cebra:Rejas de alcantarillado:,10,No,Inseguridad,8,8,ok
23,Masculino,29,lic. en comunicacion ,lomas cuarta,5,"seguridad, mas vigilancia y mas patrullas",10,Iluminación:Baches:Pasos de cebra:Pasos a nivel:,8,No,inseguridad y por la distancia ,un transporte escolar ,2,ok
24,Femenino,64,Enfermera,Viveros,7,Mas iluminacion y mas vigilancia porque no hay,9,Iluminación:Baches:Áreas Verdes:Áreas públicas de esparcimiento y recreación:Rejas de alcantarillado:Pasos a nivel:,10,No,Esta muy lejos del domicilio,Cambio de residencia,2,ok
25,Femenino,24,estudiante,Barrio de Tlaxcala,1," Educacion de los hombres, mas iluminacion y mas vigilancia",9,Iluminación:Baches:Áreas Verdes:Pasos de cebra:,10,Si,"La cultura vial,la iluminacion,seguridad","Vigilancia, educacion vial",2,ok
26,Femenino,16,estudiante,Tomasa esteves,7,Policia por la mañana,2,Áreas Verdes:Áreas de esparcimiento público:,9,No,Peligroso,Mayor seguridad ,4,ok
27,Masculino,44,abogado,himno nacional,8,todo esta bien quiza la vialidad,10,Iluminación:Baches:Banquetas:Áreas Verdes:Pasos de cebra:Áreas de esparcimiento público:,10,No,por la inswguridad,todo la inseguridad las rutas son agradable speo ws inswguro,15,ok
28,Masculino,50,constructor,monterrey ,5,policias ,10,Iluminación:Baches:Banquetas:,7,No,inseguridad,"con tiempo y coche, o encaminar a los chavos",6,ok
29,Masculino,29,odontologo,fracciomamiento esmeralda,7,la sociedad,7,Baches:,10,No,nada,cultura vial y seguridad,2,ok
30,Femenino,31,ama de casa ,barrio de tlaxcala,5,no haya delincuencia,10,Iluminación:Baches:Banquetas:Áreas Verdes:Pasos a nivel:Áreas de esparcimiento público:,10,No,muy cansado,transporte escolar o seguro,2,ok
31,Masculino,38,comerciante,san miguelito ,8,las calles y seguridad,10,Iluminación:Baches:Banquetas:,9,No,no es lo mismo que antes ,seguridad,3,ok
32,Femenino,36,QFB,Balcones del valle,2,"policias, seguridad",5,Áreas Verdes:Rejas de alcantarillado:Otros:,10,Si,"falta seguridad, no hay estacionamiento",seguridaf,4,ok
33,Masculino,32,Arqueologo,Burocrata,9,Alumbrado,10,Iluminación:Baches:Banquetas:Áreas Verdes:Áreas públicas de esparcimiento y recreación:Pasos de cebra:Rejas de alcantarillado:Pasos a nivel:,10,Si,Inseguridad,Alumbrado,8,ok
35,Femenino,42,ama de casa,lomas 3,8,mas vigilancia,10,Iluminación:Baches:Banquetas:Áreas Verdes:Áreas públicas de esparcimiento y recreación:Pasos de cebra:Rejas de alcantarillado:Pasos a nivel:Áreas de esparcimiento público:,10,No,por la inseguridad porque la gente es i conciente para manejar y no respeta zona escolar no vialidades ni hoearios de colegios y por las condiciones de cales y banqutas ,seguridad mantenimiento en las calles,10,ok
36,Femenino,39,Comerciante,Valle Dorado,3,"Seguridad, vigilancia, transporte ",10,Iluminación:Baches:,8,No,"Inseguridad, distancia a la escuela",Mas seguridad,4,ok
37,Masculino,30,comercio,San Francisco,7,Respetar señalamientos,10,Banquetas:,10,Si,Falta de cultura Vial,llevarlos yo,5,ok
38,Femenino,37,carrera tecnica,los fresnos ,5,iluminacion,9,Iluminación:Baches:Áreas Verdes:,10,Si,porque es mas rapido,mayor seguridad,4,ok
39,Masculino,50,jubilado,progreso,4,de domicilio,10,Baches:,10,No,por la inseguridad,mejorar las Calles,3,ok
40,Femenino,22,estiante,niños heroes,5,los baches,10,Baches:Banquetas:Áreas públicas de esparcimiento y recreación:Pasos de cebra:,9,No,inseguridad,seguridad,4,ok
41,Masculino,72,contador,valle dorado,9,seguridad policiaca,9,Iluminación:Baches:,9,Si,la seguridad y la confianza ,seguridad,2,ok
42,Femenino,33,lic derecho,moderna,1,"alumbrado, calles, seguridad",10,Iluminación:Baches:Banquetas:Áreas Verdes:Pasos de cebra:Otros:,10,No,"el trafico, calles feas, inseguridad","transito que revisara vias, falta señaletica para paso a peaton, iluminacion",4,ok
43,Femenino,76,vigilante,tequis,1,seguridad,10,Baches:Otros:,10,Si,vigilancia,vigilancia ,4,ok
44,Femenino,47,docente,tequis,5,seguridad,7,Iluminación:Baches:,8,Si,tienen que,seguridad,2,ok
